artist,degree_centrality,betweenness,eigenvector
Andrew Choi,0.07627118644067797,0.0010864841373315949,0.0002773191477870916
Danny Chung,0.05084745762711865,0.0,0.0002195191440066361
KEVIN WOO,0.05084745762711865,0.0,0.0002195191440066361
KPop Demon Hunters Cast,0.1016949152542373,0.003911342894393741,0.00031808538504067834
Neckwav,0.05084745762711865,0.0,0.0002195191440066361
Saja Boys,0.05084745762711865,0.0,0.0002195191440066361
samUIL Lee,0.05084745762711865,0.0,0.0002195191440066361
Juicy Luicy,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84
Mawar de Jongh,0.00847457627118644,0.0,3.633518404958669e-84
Aby Sarai,0.00847457627118644,0.0,5.167466907265784e-97
Jabing,0.00847457627118644,0.0,5.167466907265784e-97
Anggis Devaki,0.00847457627118644,0.0,5.167466907265784e-97
Betrand Putra Onsu,0.00847457627118644,0.0,5.167466907265784e-97
Etenia Croft,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84
Farel Prayoga,0.00847457627118644,0.0,3.633518404958669e-84
Liza Aditya,0.00847457627118644,0.0,5.167466907265784e-97
Rusli Zainudin,0.00847457627118644,0.0,5.167466907265784e-97
Tom & His Free Mockingbirds,0.00847457627118644,0.0,5.167466907265784e-97
keavi,0.00847457627118644,0.0,5.167466907265784e-97
AUDREY NUNA,0.03389830508474576,0.0,0.0001048006546169013
EJAE,0.059322033898305086,0.000651890482398957,0.00017576805666469702
HUNTR/X,0.03389830508474576,0.0,0.0001048006546169013
REI AMI,0.03389830508474576,0.0,0.0001048006546169013
IDM Band,0.00847457627118644,0.0,3.6897471672342103e-47
Wira Abdi,0.01694915254237288,0.0007243227582210633,1.1761635640772218e-46
Berama,0.00847457627118644,0.0,5.167466907265784e-97
Roby Geisha,0.00847457627118644,0.0,5.167466907265784e-97
F4dli,0.00847457627118644,0.0,5.167466907265784e-97
MikkyZia,0.00847457627118644,0.0,5.167466907265784e-97
Raisa,0.01694915254237288,0.0002897291032884253,1.8160298657100934e-78
Rony Parulian,0.01694915254237288,0.0002897291032884253,1.8160298657100934e-78
Mus Kamal,0.00847457627118644,0.0,5.167466907265784e-97
Ryaas Randa,0.00847457627118644,0.0,5.167466907265784e-97
Namoy Budaya,0.00847457627118644,0.0,5.167466907265784e-97
weaken amore,0.00847457627118644,0.0,5.167466907265784e-97
Arslan Nizami,0.025423728813559324,0.0,1.88806533645555e-49
Faheem Abdullah,0.025423728813559324,0.0,1.88806533645555e-49
Irshad Kamil,0.025423728813559324,0.0,1.88806533645555e-49
Tanishk Bagchi,0.025423728813559324,0.0,1.88806533645555e-49
Tya Subiakto,0.0423728813559322,0.001593510068086339,3.3802272387584858e-46
Fred again..,0.01694915254237288,0.0,3.433180482092443e-69
PlaqueBoyMax,0.01694915254237288,0.0,3.433180482092443e-69
Skepta,0.01694915254237288,0.0,3.433180482092443e-69
Foni Susanti,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84
Olla Zahra,0.00847457627118644,0.0,3.633518404958669e-84
TERUNA,0.00847457627118644,0.0,5.167466907265784e-97
Zufari,0.00847457627118644,0.0,5.167466907265784e-97
Jemsii,0.025423728813559324,7.243227582210633e-05,2.2565764476961953e-57
Suisei,0.01694915254237288,0.0,1.761881649609076e-57
Tenxi,0.025423728813559324,7.243227582210633e-05,2.2565764476961953e-57
Dzulfahmi,0.00847457627118644,0.0,5.167466907265784e-97
White Chorus,0.00847457627118644,0.0,5.167466907265784e-97
Dandy Barakati,0.00847457627118644,0.0,5.167466907265784e-97
Dante Nababan,0.00847457627118644,0.0,5.167466907265784e-97
Barsena Bestandhi,0.00847457627118644,0.0,1.122368181593745e-78
Eddy Sutrisna,0.025423728813559324,0.00043459365493263795,1.7832945309889278e-75
Natawidjadja's Singers,0.00847457627118644,0.0,1.0295855775108447e-75
Sam Tinnesz,0.01694915254237288,0.0,3.433180482092443e-69
Tommee Profitt,0.01694915254237288,0.0,3.433180482092443e-69
brooke,0.01694915254237288,0.0,3.433180482092443e-69
JVSAN,0.00847457627118644,0.0,5.167466907265784e-97
gazeng,0.00847457627118644,0.0,5.167466907265784e-97
Ade Febrianto,0.01694915254237288,0.0,0.060740703523956684
Bowo Soulmate,0.01694915254237288,0.0,0.060740703523956684
THE GRNM,0.0847457627118644,0.003766478342749529,0.3692784844242515
AVIWKILA,0.00847457627118644,0.0,3.633518404958669e-84
Alex Kuple,0.025423728813559324,0.0,2.846139137703196e-46
Bima Wp,0.025423728813559324,0.0,2.846139137703196e-46
Rendy Suryadi,0.025423728813559324,0.0,2.846139137703196e-46
Charita Utami,0.00847457627118644,0.0,5.167466907265784e-97
Fourtwnty,0.00847457627118644,0.0,5.167466907265784e-97
Dyno Wibisono,0.00847457627118644,0.0,5.167466907265784e-97
Tomi Temp,0.00847457627118644,0.0,5.167466907265784e-97
Bon Iver,0.00847457627118644,0.0,5.167466907265784e-97
Taylor Swift,0.00847457627118644,0.0,5.167466907265784e-97
Jasper Supayah,0.00847457627118644,0.0,1.0604123660812682e-46
Jinu,0.03389830508474576,0.0,0.0001350018194111103
Rumi,0.03389830508474576,0.0,0.0001350018194111103
Ncum,0.00847457627118644,0.0,5.167466907265784e-97
Rombongan Bodonk Koplo,0.00847457627118644,0.0,5.167466907265784e-97
Celina,0.059322033898305086,0.0,0.34778699189413975
Chandra Rian,0.059322033898305086,0.0,0.34778699189413975
Kendah,0.059322033898305086,0.0,0.34778699189413975
Meha,0.06779661016949153,0.0014486455164421266,0.3539753546638635
Soraya,0.059322033898305086,0.0,0.34778699189413975
Swain,0.059322033898305086,0.0,0.34778699189413975
mahalinda,0.059322033898305086,0.0,0.34778699189413975
Andi Rianto,0.00847457627118644,0.0,1.122368181593745e-78
Simfoni Semesta Band,0.00847457627118644,0.0,1.0295855775108447e-75
Velvet Sunrise,0.00847457627118644,0.0,1.0295855775108447e-75
Naykilla,0.01694915254237288,0.0,1.761881649609076e-57
Gusti Irwan Wibowo,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84
Nehru Rindra,0.00847457627118644,0.0,3.633518404958669e-84
Angie Carvalho,0.00847457627118644,0.0,5.167466907265784e-97
Yovie Widianto,0.00847457627118644,0.0,5.167466907265784e-97
Shayan Malik,0.00847457627118644,0.0,0.04999942485128062
Feby Putri,0.00847457627118644,0.0,5.167466907265784e-97
Fiersa Besari,0.00847457627118644,0.0,5.167466907265784e-97
Diva Aurel,0.025423728813559324,0.0,1.88806533645555e-49
Jacson Seran,0.025423728813559324,0.0,1.88806533645555e-49
Juan Reza,0.025423728813559324,0.0,1.88806533645555e-49
Silet Open Up,0.025423728813559324,0.0,1.88806533645555e-49
Tefira Kirana,0.00847457627118644,0.0,5.167466907265784e-97
Teguh Sants,0.00847457627118644,0.0,5.167466907265784e-97
Aziz Hedra,0.00847457627118644,0.0,5.167466907265784e-97
Sisca Saras,0.00847457627118644,0.0,5.167466907265784e-97
Adrian Khalif,0.00847457627118644,0.0,3.633518404958669e-84
Hifdzikhoir,0.00847457627118644,0.0,3.633518404958669e-84
Kirana Setio,0.00847457627118644,0.0,0.05216100948242112
Rara Riezky Julia,0.00847457627118644,0.0,3.633518404958669e-84
Fresly Nikijuluw,0.01694915254237288,0.0,3.433180482092443e-69
Toton Caribo,0.01694915254237288,0.0,3.433180482092443e-69
Wizz Baker,0.01694915254237288,0.0,3.433180482092443e-69
Fantomel,0.00847457627118644,0.0,5.167466907265784e-97
Kate Linn,0.00847457627118644,0.0,5.167466907265784e-97
Bareza,0.00847457627118644,0.0,5.167466907265784e-97
Fort Salta,0.00847457627118644,0.0,5.167466907265784e-97
Iggy Pop,0.00847457627118644,0.0,5.167466907265784e-97
Teddybears,0.00847457627118644,0.0,5.167466907265784e-97
